day,count,hour
FRI,912,0.0
FRI,478,1.0
FRI,464,2.0
FRI,386,3.0
FRI,239,4.0
FRI,218,5.0
FRI,218,6.0
FRI,316,7.0
FRI,496,8.0
FRI,456,9.0
FRI,552,10.0
FRI,516,11.0
FRI,1076,12.0
FRI,581,13.0
FRI,669,14.0
FRI,749,15.0
FRI,752,16.0
FRI,781,17.0
FRI,1035,18.0
FRI,797,19.0
FRI,871,20.0
FRI,730,21.0
FRI,847,22.0
FRI,694,23.0
MON,864,0.0
MON,448,1.0
MON,456,2.0
MON,331,3.0
MON,255,4.0
MON,224,5.0
MON,257,6.0
MON,323,7.0
MON,483,8.0
MON,491,9.0
MON,498,10.0
MON,523,11.0
MON,1209,12.0
MON,609,13.0
MON,646,14.0
MON,713,15.0
MON,694,16.0
MON,784,17.0
MON,793,18.0
MON,761,19.0
MON,836,20.0
MON,755,21.0
MON,715,22.0
MON,662,23.0
SAT,958,0.0
SAT,603,1.0
SAT,604,2.0
SAT,415,3.0
SAT,296,4.0
SAT,212,5.0
SAT,173,6.0
SAT,213,7.0
SAT,409,8.0
SAT,373,9.0
SAT,514,10.0
SAT,449,11.0
SAT,936,12.0
SAT,504,13.0
SAT,617,14.0
SAT,688,15.0
SAT,664,16.0
SAT,748,17.0
SAT,765,18.0
SAT,716,19.0
SAT,729,20.0
SAT,701,21.0
SAT,853,22.0
SAT,769,23.0
SUN,956,0.0
SUN,668,1.0
SUN,654,2.0
SUN,481,3.0
SUN,348,4.0
SUN,249,5.0
SUN,213,6.0
SUN,231,7.0
SUN,348,8.0
SUN,343,9.0
SUN,411,10.0
SUN,459,11.0
SUN,919,12.0
SUN,515,13.0
SUN,590,14.0
SUN,588,15.0
SUN,591,16.0
SUN,692,17.0
SUN,851,18.0
SUN,767,19.0
SUN,757,20.0
SUN,761,21.0
SUN,754,22.0
SUN,669,23.0
THU,843,0.0
THU,442,1.0
THU,444,2.0
THU,284,3.0
THU,255,4.0
THU,219,5.0
THU,218,6.0
THU,285,7.0
THU,470,8.0
THU,434,9.0
THU,515,10.0
THU,542,11.0
THU,1091,12.0
THU,594,13.0
THU,608,14.0
THU,696,15.0
THU,737,16.0
THU,719,17.0
THU,937,18.0
THU,779,19.0
THU,839,20.0
THU,701,21.0
THU,849,22.0
THU,714,23.0
TUE,839,0.0
TUE,423,1.0
TUE,374,2.0
TUE,266,3.0
TUE,240,4.0
TUE,207,5.0
TUE,242,6.0
TUE,268,7.0
TUE,449,8.0
TUE,450,9.0
TUE,529,10.0
TUE,553,11.0
TUE,1109,12.0
TUE,654,13.0
TUE,687,14.0
TUE,693,15.0
TUE,725,16.0
TUE,775,17.0
TUE,826,18.0
TUE,782,19.0
TUE,790,20.0
TUE,757,21.0
TUE,780,22.0
TUE,613,23.0
WED,907,0.0
WED,463,1.0
WED,436,2.0
WED,324,3.0
WED,235,4.0
WED,228,5.0
WED,272,6.0
WED,293,7.0
WED,500,8.0
WED,468,9.0
WED,487,10.0
WED,537,11.0
WED,1190,12.0
WED,640,13.0
WED,697,14.0
WED,689,15.0
WED,689,16.0
WED,806,17.0
WED,882,18.0
WED,739,19.0
WED,806,20.0
WED,756,21.0
WED,755,22.0
WED,648,23.0
