day,count,hour,year
FRI,828,12am,2018.0
FRI,602,1am,2018.0
FRI,540,2am,2018.0
FRI,336,3am,2018.0
FRI,231,4am,2018.0
FRI,175,5am,2018.0
FRI,183,6am,2018.0
FRI,290,7am,2018.0
FRI,473,8am,2018.0
FRI,438,9am,2018.0
FRI,556,10am,2018.0
FRI,565,11am,2018.0
FRI,1099,12pm,2018.0
FRI,632,1pm,2018.0
FRI,662,2pm,2018.0
FRI,709,3pm,2018.0
FRI,692,4pm,2018.0
FRI,868,5pm,2018.0
FRI,980,6pm,2018.0
FRI,789,7pm,2018.0
FRI,816,8pm,2018.0
FRI,825,9pm,2018.0
FRI,826,10pm,2018.0
FRI,829,11pm,2018.0
MON,856,12am,2018.0
MON,453,1am,2018.0
MON,473,2am,2018.0
MON,294,3am,2018.0
MON,200,4am,2018.0
MON,188,5am,2018.0
MON,199,6am,2018.0
MON,286,7am,2018.0
MON,452,8am,2018.0
MON,452,9am,2018.0
MON,529,10am,2018.0
MON,536,11am,2018.0
MON,1091,12pm,2018.0
MON,547,1pm,2018.0
MON,615,2pm,2018.0
MON,689,3pm,2018.0
MON,759,4pm,2018.0
MON,841,5pm,2018.0
MON,908,6pm,2018.0
MON,864,7pm,2018.0
MON,817,8pm,2018.0
MON,774,9pm,2018.0
MON,865,10pm,2018.0
MON,666,11pm,2018.0
SAT,961,12am,2018.0
SAT,681,1am,2018.0
SAT,762,2am,2018.0
SAT,512,3am,2018.0
SAT,340,4am,2018.0
SAT,235,5am,2018.0
SAT,172,6am,2018.0
SAT,225,7am,2018.0
SAT,330,8am,2018.0
SAT,396,9am,2018.0
SAT,520,10am,2018.0
SAT,469,11am,2018.0
SAT,894,12pm,2018.0
SAT,565,1pm,2018.0
SAT,625,2pm,2018.0
SAT,659,3pm,2018.0
SAT,680,4pm,2018.0
SAT,784,5pm,2018.0
SAT,767,6pm,2018.0
SAT,746,7pm,2018.0
SAT,838,8pm,2018.0
SAT,787,9pm,2018.0
SAT,855,10pm,2018.0
SAT,806,11pm,2018.0
SUN,980,12am,2018.0
SUN,797,1am,2018.0
SUN,749,2am,2018.0
SUN,546,3am,2018.0
SUN,322,4am,2018.0
SUN,261,5am,2018.0
SUN,187,6am,2018.0
SUN,209,7am,2018.0
SUN,273,8am,2018.0
SUN,341,9am,2018.0
SUN,391,10am,2018.0
SUN,390,11am,2018.0
SUN,785,12pm,2018.0
SUN,475,1pm,2018.0
SUN,490,2pm,2018.0
SUN,592,3pm,2018.0
SUN,617,4pm,2018.0
SUN,740,5pm,2018.0
SUN,829,6pm,2018.0
SUN,724,7pm,2018.0
SUN,797,8pm,2018.0
SUN,750,9pm,2018.0
SUN,827,10pm,2018.0
SUN,726,11pm,2018.0
THU,702,12am,2018.0
THU,460,1am,2018.0
THU,450,2am,2018.0
THU,314,3am,2018.0
THU,214,4am,2018.0
THU,160,5am,2018.0
THU,224,6am,2018.0
THU,260,7am,2018.0
THU,420,8am,2018.0
THU,417,9am,2018.0
THU,527,10am,2018.0
THU,503,11am,2018.0
THU,1055,12pm,2018.0
THU,606,1pm,2018.0
THU,632,2pm,2018.0
THU,647,3pm,2018.0
THU,700,4pm,2018.0
THU,735,5pm,2018.0
THU,876,6pm,2018.0
THU,822,7pm,2018.0
THU,885,8pm,2018.0
THU,839,9pm,2018.0
THU,869,10pm,2018.0
THU,779,11pm,2018.0
TUE,731,12am,2018.0
TUE,412,1am,2018.0
TUE,361,2am,2018.0
TUE,239,3am,2018.0
TUE,205,4am,2018.0
TUE,188,5am,2018.0
TUE,171,6am,2018.0
TUE,279,7am,2018.0
TUE,437,8am,2018.0
TUE,442,9am,2018.0
TUE,482,10am,2018.0
TUE,541,11am,2018.0
TUE,971,12pm,2018.0
TUE,593,1pm,2018.0
TUE,619,2pm,2018.0
TUE,617,3pm,2018.0
TUE,677,4pm,2018.0
TUE,815,5pm,2018.0
TUE,824,6pm,2018.0
TUE,853,7pm,2018.0
TUE,849,8pm,2018.0
TUE,814,9pm,2018.0
TUE,857,10pm,2018.0
TUE,672,11pm,2018.0
WED,708,12am,2018.0
WED,490,1am,2018.0
WED,396,2am,2018.0
WED,283,3am,2018.0
WED,191,4am,2018.0
WED,146,5am,2018.0
WED,190,6am,2018.0
WED,311,7am,2018.0
WED,434,8am,2018.0
WED,459,9am,2018.0
WED,508,10am,2018.0
WED,524,11am,2018.0
WED,1009,12pm,2018.0
