day,count,hour,year,hour_index,day_index
SUN,980,12am,2018.0,0,1
SUN,797,1am,2018.0,1,1
SUN,749,2am,2018.0,2,1
SUN,546,3am,2018.0,3,1
SUN,322,4am,2018.0,4,1
SUN,261,5am,2018.0,5,1
SUN,187,6am,2018.0,6,1
SUN,209,7am,2018.0,7,1
SUN,273,8am,2018.0,8,1
SUN,341,9am,2018.0,9,1
SUN,391,10am,2018.0,10,1
SUN,390,11am,2018.0,11,1
SUN,785,12pm,2018.0,12,1
SUN,475,1pm,2018.0,13,1
SUN,490,2pm,2018.0,14,1
SUN,592,3pm,2018.0,15,1
SUN,617,4pm,2018.0,16,1
SUN,740,5pm,2018.0,17,1
SUN,829,6pm,2018.0,18,1
SUN,724,7pm,2018.0,19,1
SUN,797,8pm,2018.0,20,1
SUN,750,9pm,2018.0,21,1
SUN,827,10pm,2018.0,22,1
SUN,726,11pm,2018.0,23,1
MON,856,12am,2018.0,0,2
MON,453,1am,2018.0,1,2
MON,473,2am,2018.0,2,2
MON,294,3am,2018.0,3,2
MON,200,4am,2018.0,4,2
MON,188,5am,2018.0,5,2
MON,199,6am,2018.0,6,2
MON,286,7am,2018.0,7,2
MON,452,8am,2018.0,8,2
MON,452,9am,2018.0,9,2
MON,529,10am,2018.0,10,2
MON,536,11am,2018.0,11,2
MON,1091,12pm,2018.0,12,2
MON,547,1pm,2018.0,13,2
MON,615,2pm,2018.0,14,2
MON,689,3pm,2018.0,15,2
MON,759,4pm,2018.0,16,2
MON,841,5pm,2018.0,17,2
MON,908,6pm,2018.0,18,2
MON,864,7pm,2018.0,19,2
MON,817,8pm,2018.0,20,2
MON,774,9pm,2018.0,21,2
MON,865,10pm,2018.0,22,2
MON,666,11pm,2018.0,23,2
TUE,731,12am,2018.0,0,3
TUE,412,1am,2018.0,1,3
TUE,361,2am,2018.0,2,3
TUE,239,3am,2018.0,3,3
TUE,205,4am,2018.0,4,3
TUE,188,5am,2018.0,5,3
TUE,171,6am,2018.0,6,3
TUE,279,7am,2018.0,7,3
TUE,437,8am,2018.0,8,3
TUE,442,9am,2018.0,9,3
TUE,482,10am,2018.0,10,3
TUE,541,11am,2018.0,11,3
TUE,971,12pm,2018.0,12,3
TUE,593,1pm,2018.0,13,3
TUE,619,2pm,2018.0,14,3
TUE,617,3pm,2018.0,15,3
TUE,677,4pm,2018.0,16,3
TUE,815,5pm,2018.0,17,3
TUE,824,6pm,2018.0,18,3
TUE,853,7pm,2018.0,19,3
TUE,849,8pm,2018.0,20,3
TUE,814,9pm,2018.0,21,3
TUE,857,10pm,2018.0,22,3
TUE,672,11pm,2018.0,23,3
WED,708,12am,2018.0,0,4
WED,490,1am,2018.0,1,4
WED,396,2am,2018.0,2,4
WED,283,3am,2018.0,3,4
WED,191,4am,2018.0,4,4
WED,146,5am,2018.0,5,4
WED,190,6am,2018.0,6,4
WED,311,7am,2018.0,7,4
WED,434,8am,2018.0,8,4
WED,459,9am,2018.0,9,4
WED,508,10am,2018.0,10,4
WED,524,11am,2018.0,11,4
WED,1009,12pm,2018.0,12,4
WED,580,1pm,2018.0,13,4
WED,596,2pm,2018.0,14,4
WED,643,3pm,2018.0,15,4
WED,693,4pm,2018.0,16,4
WED,814,5pm,2018.0,17,4
WED,848,6pm,2018.0,18,4
WED,860,7pm,2018.0,19,4
WED,846,8pm,2018.0,20,4
WED,795,9pm,2018.0,21,4
WED,877,10pm,2018.0,22,4
WED,666,11pm,2018.0,23,4
THU,702,12am,2018.0,0,5
THU,460,1am,2018.0,1,5
THU,450,2am,2018.0,2,5
THU,314,3am,2018.0,3,5
THU,214,4am,2018.0,4,5
THU,160,5am,2018.0,5,5
THU,224,6am,2018.0,6,5
THU,260,7am,2018.0,7,5
THU,420,8am,2018.0,8,5
THU,417,9am,2018.0,9,5
THU,527,10am,2018.0,10,5
THU,503,11am,2018.0,11,5
THU,1055,12pm,2018.0,12,5
THU,606,1pm,2018.0,13,5
THU,632,2pm,2018.0,14,5
THU,647,3pm,2018.0,15,5
THU,700,4pm,2018.0,16,5
THU,735,5pm,2018.0,17,5
THU,876,6pm,2018.0,18,5
THU,822,7pm,2018.0,19,5
THU,885,8pm,2018.0,20,5
THU,839,9pm,2018.0,21,5
THU,869,10pm,2018.0,22,5
THU,779,11pm,2018.0,23,5
FRI,828,12am,2018.0,0,6
FRI,602,1am,2018.0,1,6
FRI,540,2am,2018.0,2,6
FRI,336,3am,2018.0,3,6
FRI,231,4am,2018.0,4,6
FRI,175,5am,2018.0,5,6
FRI,183,6am,2018.0,6,6
FRI,290,7am,2018.0,7,6
FRI,473,8am,2018.0,8,6
FRI,438,9am,2018.0,9,6
FRI,556,10am,2018.0,10,6
FRI,565,11am,2018.0,11,6
FRI,1099,12pm,2018.0,12,6
FRI,632,1pm,2018.0,13,6
FRI,662,2pm,2018.0,14,6
FRI,709,3pm,2018.0,15,6
FRI,692,4pm,2018.0,16,6
FRI,868,5pm,2018.0,17,6
FRI,980,6pm,2018.0,18,6
FRI,789,7pm,2018.0,19,6
FRI,816,8pm,2018.0,20,6
FRI,825,9pm,2018.0,21,6
FRI,826,10pm,2018.0,22,6
FRI,829,11pm,2018.0,23,6
SAT,961,12am,2018.0,0,7
SAT,681,1am,2018.0,1,7
SAT,762,2am,2018.0,2,7
SAT,512,3am,2018.0,3,7
SAT,340,4am,2018.0,4,7
SAT,235,5am,2018.0,5,7
SAT,172,6am,2018.0,6,7
SAT,225,7am,2018.0,7,7
SAT,330,8am,2018.0,8,7
SAT,396,9am,2018.0,9,7
SAT,520,10am,2018.0,10,7
SAT,469,11am,2018.0,11,7
SAT,894,12pm,2018.0,12,7
SAT,565,1pm,2018.0,13,7
SAT,625,2pm,2018.0,14,7
SAT,659,3pm,2018.0,15,7
SAT,680,4pm,2018.0,16,7
