zip_code,offense_type,latitude,longitude
78745,FAMILY DISTURBANCE,30.19737037,-97.80960579
78745,CRIMINAL MISCHIEF,30.18703535,-97.78036385
78704,BURGLARY OF VEHICLE,30.25854616,-97.74677519
78741,FAMILY DISTURBANCE,30.23039867,-97.72977637
78744,FAMILY DISTURBANCE,30.19923629,-97.74423429
78744,ASSAULT W/INJURY-FAM/DATE VIOL,30.19754361,-97.7608199
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.36438199,-97.71397697
78745,BURGLARY OF VEHICLE,30.20398982,-97.76134168
78745,BURGLARY OF VEHICLE,30.21221813,-97.75925742
78748,THEFT,30.16056764,-97.79244422
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.36992951,-97.72004637
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26732068,-97.73893254
78702,ASSAULT W/INJURY-FAM/DATE VIOL,30.26508455,-97.73255121
78744,FAMILY DISTURBANCE,30.17253455,-97.75983648
78758,FAMILY DISTURBANCE,30.37687738,-97.69521071
78752,FAMILY DISTURBANCE,30.32202477,-97.70020416
78741,BURGLARY OF VEHICLE,30.24056887,-97.72515302
78753,ASSAULT W/INJURY-FAM/DATE VIOL,30.35162962,-97.67831952
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.36275851,-97.70869269
78702,THEFT,30.28012338,-97.70625584
78745,CRIMINAL MISCHIEF,30.20593316,-97.77487726
78701,THEFT,30.26610034,-97.74400318
78744,CRIMINAL MISCHIEF,30.19583267,-97.74878977
78744,THEFT,30.17901266,-97.74665652
78741,FAMILY DISTURBANCE,30.22551857,-97.74288365
78753,FAMILY DISTURBANCE,30.39438783,-97.67065387
78753,CRIMINAL MISCHIEF,30.3630349,-97.67245193
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26752644,-97.73972231
78702,FAMILY DISTURBANCE,30.26195591,-97.70806821
78704,BURGLARY OF VEHICLE,30.23778057,-97.75479405
78744,BURGLARY OF VEHICLE,30.20549246,-97.73862345
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.19709607,-97.78782978
78744,BURGLARY OF VEHICLE,30.17057316,-97.78193509
78702,ASSAULT W/INJURY-FAM/DATE VIOL,30.27955834,-97.72086092
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26689113,-97.73958729
78741,THEFT,30.23581427,-97.72262391
78753,THEFT,30.36202642,-97.69713614
78704,THEFT,30.23427769,-97.74217043
78753,THEFT,30.3391525,-97.69116892
78753,THEFT,30.34522549,-97.69705619
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26560263,-97.74087977
78723,THEFT,30.32022465,-97.6951872
78753,FAMILY DISTURBANCE,30.36023908,-97.69194237
78758,THEFT,30.37838129,-97.7131653
78741,FAMILY DISTURBANCE,30.2331294,-97.71545583
78745,BURGLARY OF VEHICLE,30.21659373,-97.75829211
78744,BURGLARY OF VEHICLE,30.17057316,-97.78193509
78701,THEFT,30.268454,-97.7422037
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26669196,-97.73885121
78753,FAMILY DISTURBANCE,30.40784843,-97.67822767
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26438313,-97.74340922
78744,THEFT,30.16641195,-97.78441881
78745,FAMILY DISTURBANCE,30.20758275,-97.81858198
78704,BURGLARY OF VEHICLE,30.23975281,-97.74063611
78745,ASSAULT W/INJURY-FAM/DATE VIOL,30.22809239,-97.78315205
78753,THEFT,30.40722041,-97.67645532
78701,ASSAULT W/INJURY-FAM/DATE VIOL,30.26505534,-97.74224105
78704,CRIMINAL MISCHIEF,30.23958737,-97.74075142
78753,CRIMINAL MISCHIEF,30.3575515,-97.68938363
78745,FAMILY DISTURBANCE,30.18703535,-97.78036385
78745,THEFT,30.22562713,-97.79015626
78744,THEFT,30.19236352,-97.75679133
78745,BURGLARY OF VEHICLE,30.20436341,-97.78428824
78758,CRIMINAL MISCHIEF,30.38139988,-97.71000618
78748,FAMILY DISTURBANCE,30.15475062,-97.83518534
78758,ASSAULT W/INJURY-FAM/DATE VIOL,30.37119483,-97.71452465
78752,FAMILY DISTURBANCE,30.3263807,-97.70486317
78753,FAMILY DISTURBANCE,30.40417676,-97.64652215
78704,FAMILY DISTURBANCE,30.2323448,-97.75924994
78758,THEFT,30.40434542,-97.72102044
78748,FAMILY DISTURBANCE,30.18399428,-97.83237474
78702,CRIMINAL MISCHIEF,30.27324598,-97.72395012
78704,THEFT,30.23728157,-97.78427775
78745,BURGLARY OF VEHICLE,30.20138509,-97.81124554
78745,THEFT,30.22326428,-97.76478089
78701,CRIMINAL MISCHIEF,30.26973339,-97.73692853
78723,FAMILY DISTURBANCE,30.30416717,-97.70156941
78723,FAMILY DISTURBANCE,30.30285951,-97.68575025
78741,FAMILY DISTURBANCE,30.22664019,-97.7210571
78758,CRIMINAL MISCHIEF,30.40196081,-97.70177135
78723,THEFT,30.30586357,-97.69338312
78702,CRIMINAL MISCHIEF,30.25676048,-97.71896224
78744,FAMILY DISTURBANCE,30.20524259,-97.75566571
78753,FAMILY DISTURBANCE,30.39208389,-97.68105396
78723,FAMILY DISTURBANCE,30.31212585,-97.688964
78744,FAMILY DISTURBANCE,30.19570805,-97.7293371
