count,month,year
8174,Apr,2018.0
8307,Apr,2019.0
7633,Apr,2020.0
8572,Aug,2018.0
9272,Aug,2019.0
8458,Aug,2020.0
8271,Dec,2018.0
8689,Dec,2019.0
8211,Dec,2020.0
7359,Feb,2018.0
7795,Feb,2019.0
8337,Feb,2020.0
7878,Jan,2018.0
8371,Jan,2019.0
8792,Jan,2020.0
8435,Jul,2018.0
9196,Jul,2019.0
8157,Jul,2020.0
8437,Jun,2018.0
8727,Jun,2019.0
7793,Jun,2020.0
8515,Mar,2018.0
8899,Mar,2019.0
8643,Mar,2020.0
8400,May,2018.0
9242,May,2019.0
8626,May,2020.0
8249,Nov,2018.0
8660,Nov,2019.0
8492,Nov,2020.0
8677,Oct,2018.0
9250,Oct,2019.0
8203,Oct,2020.0
8350,Sep,2018.0
8634,Sep,2019.0
8235,Sep,2020.0
