zip_code,count,longitude,latitude
78753,24521,-97.6827,30.3649
78758,23912,-97.7078,30.3764
78741,23763,-97.7223,30.2315
78701,19864,-97.7426,30.2713
78704,19356,-97.7658,30.2428
78745,18797,-97.7956,30.2063
78744,16830,-97.7472,30.1876
78723,16508,-97.6849,30.3085
78702,13536,-97.7166,30.2638
78748,10642,-97.8225,30.1743
78752,10207,-97.7004,30.3316
78759,9852,-97.7526,30.4036
78751,7806,-97.7242,30.3093
78757,7659,-97.7316,30.3437
78705,7008,-97.7396,30.2896
78749,5499,-97.8508,30.2166
78721,5471,-97.6868,30.2721
78724,5367,-97.6396,30.296
78729,5228,-97.7688,30.4521
78727,4956,-97.7195,30.4254
78703,4498,-97.7648,30.2907
78754,4225,-97.6673,30.3423
78731,4092,-97.7609,30.3471
78750,3986,-97.7967,30.4224
78746,3981,-97.8181,30.2971
78717,2728,-97.7472,30.506
78735,2511,-97.8414,30.249
78617,2507,-97.6134,30.1745
78756,2432,-97.739,30.3223
78747,2401,-97.7433,30.1204
78660,2277,-97.6299,30.4421
78722,2211,-97.715,30.2893
78726,1879,-97.8326,30.43
78719,1607,-97.6667,30.1802
78613,1489,-97.8203,30.5052
78739,881,-97.8784,30.172
78736,766,-97.916,30.2444
78730,665,-97.8241,30.3607
78725,535,-97.6243,30.2562
78653,515,-97.5323,30.3388
78742,420,-97.6703,30.2313
78728,193,-97.6811,30.4417
78652,141,-97.8393,30.1238
78732,50,-97.9007,30.3752
78712,46,-97.7354,30.2852
78737,28,-97.9427,30.2107
78610,25,-97.8534,30.0918
78733,21,-97.8666,30.3314
78681,16,-97.6789,30.5083
78664,12,-97.668,30.5145
78641,5,-97.8575,30.5835
78738,5,-97.9824,30.3337
78734,5,-97.9427,30.3705
78612,2,-97.4976,30.0966
78640,1,-97.8335,29.9966
78645,1,-97.9669,30.449
