zip_code,count,offense_type,row_num,longitude,latitude
78701,1561,ASSAULT W/INJURY-FAM/DATE VIOL,1,-97.7426,30.2713
78753,1512,ASSAULT W/INJURY-FAM/DATE VIOL,2,-97.6827,30.3649
78758,1500,ASSAULT W/INJURY-FAM/DATE VIOL,3,-97.7078,30.3764
78741,1478,ASSAULT W/INJURY-FAM/DATE VIOL,4,-97.7223,30.2315
78745,1136,ASSAULT W/INJURY-FAM/DATE VIOL,5,-97.7956,30.2063
78744,1105,ASSAULT W/INJURY-FAM/DATE VIOL,6,-97.7472,30.1876
78723,1004,ASSAULT W/INJURY-FAM/DATE VIOL,7,-97.6849,30.3085
78702,826,ASSAULT W/INJURY-FAM/DATE VIOL,8,-97.7166,30.2638
78704,806,ASSAULT W/INJURY-FAM/DATE VIOL,9,-97.7658,30.2428
78752,712,ASSAULT W/INJURY-FAM/DATE VIOL,10,-97.7004,30.3316
78704,2793,BURGLARY OF VEHICLE,1,-97.7658,30.2428
78758,2376,BURGLARY OF VEHICLE,2,-97.7078,30.3764
78753,2315,BURGLARY OF VEHICLE,3,-97.6827,30.3649
78741,2267,BURGLARY OF VEHICLE,4,-97.7223,30.2315
78759,2107,BURGLARY OF VEHICLE,5,-97.7526,30.4036
78745,1788,BURGLARY OF VEHICLE,6,-97.7956,30.2063
78744,1516,BURGLARY OF VEHICLE,7,-97.7472,30.1876
78702,1350,BURGLARY OF VEHICLE,8,-97.7166,30.2638
78701,1220,BURGLARY OF VEHICLE,9,-97.7426,30.2713
78757,1209,BURGLARY OF VEHICLE,10,-97.7316,30.3437
78758,1488,CRIMINAL MISCHIEF,1,-97.7078,30.3764
78753,1418,CRIMINAL MISCHIEF,2,-97.6827,30.3649
78741,1217,CRIMINAL MISCHIEF,3,-97.7223,30.2315
78704,1019,CRIMINAL MISCHIEF,4,-97.7658,30.2428
78701,957,CRIMINAL MISCHIEF,5,-97.7426,30.2713
78745,949,CRIMINAL MISCHIEF,6,-97.7956,30.2063
78744,903,CRIMINAL MISCHIEF,7,-97.7472,30.1876
78723,822,CRIMINAL MISCHIEF,8,-97.6849,30.3085
78702,797,CRIMINAL MISCHIEF,9,-97.7166,30.2638
78759,566,CRIMINAL MISCHIEF,10,-97.7526,30.4036
78753,2920,FAMILY DISTURBANCE,1,-97.6827,30.3649
78741,2905,FAMILY DISTURBANCE,2,-97.7223,30.2315
78758,2724,FAMILY DISTURBANCE,3,-97.7078,30.3764
78744,2699,FAMILY DISTURBANCE,4,-97.7472,30.1876
78745,2388,FAMILY DISTURBANCE,5,-97.7956,30.2063
78723,1941,FAMILY DISTURBANCE,6,-97.6849,30.3085
78748,1483,FAMILY DISTURBANCE,7,-97.8225,30.1743
78704,1222,FAMILY DISTURBANCE,8,-97.7658,30.2428
78752,1149,FAMILY DISTURBANCE,9,-97.7004,30.3316
78702,1113,FAMILY DISTURBANCE,10,-97.7166,30.2638
78701,2319,THEFT,1,-97.7426,30.2713
78753,2116,THEFT,2,-97.6827,30.3649
78704,1823,THEFT,3,-97.7658,30.2428
78758,1821,THEFT,4,-97.7078,30.3764
78741,1818,THEFT,5,-97.7223,30.2315
78723,1482,THEFT,6,-97.6849,30.3085
78745,1397,THEFT,7,-97.7956,30.2063
78702,1186,THEFT,8,-97.7166,30.2638
78744,1064,THEFT,9,-97.7472,30.1876
78748,925,THEFT,10,-97.8225,30.1743
