label,value,parent
RESIDENCE / HOME,124933,
STREETS / HWY / ROAD / ALLEY,53329,
PARKING LOTS / GARAGE,37623,
OTHER / UNKNOWN,20677,
COMMERCIAL / OFFICE BUILDING,7837,
DEPARTMENT / DISCOUNT STORE,6824,
HOTEL / MOTEL / ETC.,6778,
RESTAURANTS,6075,
GROCERY / SUPERMARKET,5189,
CONVENIENCE STORE,4454,
GAS / SERVICE STATIONS,4256,
DRUG STORE / DR. OFFICE / HOSPITAL,3498,
BAR / NIGHT CLUB,3346,
PARK / PLAYGROUND,2813,
SPECIALTY  STORE (TV  FUR ETC.),2313,
TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS),1938,
CONSTRUCTION SITE,1292,
GOVERNMENT / PUBLIC BUILDING,1271,
BANKS / SAVINGS & LOAN,1116,
RENTAL STORAGE FACILITY,988,
SHOPPING MALL,915,
LIQUOR STORE,785,
AUTO DEALERSHIP NEW / USED,735,
ABANDONED/CONDEMNED STRUCTURE,699,
CHURCH / SYNAGOGUE / TEMPLE / MOSQUE,683,
SHELTER-MISSION / HOMELESS,661,
SCHOOL - ELEMENTARY / SECONDARY,517,
FIELD / WOODS,509,
SCHOOL - COLLEGE / UNIVERSITY,327,
COMMUNITY CENTER,317,
DAYCARE FACILITY,219,
JAIL / PRISON,147,
CAMP / CAMPGROUND,142,
SCHOOLS / COLLEGES,141,
ATM SEPARATE FROM BANK,108,
INDUSTRIAL SITE,92,
GAMBLING FACILITY / CASINO / RACE TRACK,92,
LAKE / WATERWAY,83,
ARENA / STADIUM / FAIRGROUNDS / COLISEUM,55,
AMUSEMENT PARK,46,
CYBERSPACE,39,
REST AREA,33,
DOCK / WHARF / FREIGHT / MODAL TERMINAL,30,
MILITARY INSTALLATION,6,
FARM FACILITY,4,
TRIBAL LANDS,4,
2020,44493,RESIDENCE / HOME
2019,40957,RESIDENCE / HOME
2018,39483,RESIDENCE / HOME
2019,19522,STREETS / HWY / ROAD / ALLEY
2018,19017,STREETS / HWY / ROAD / ALLEY
2020,14790,STREETS / HWY / ROAD / ALLEY
2019,13294,PARKING LOTS / GARAGE
2020,12525,PARKING LOTS / GARAGE
2018,11804,PARKING LOTS / GARAGE
2018,7204,OTHER / UNKNOWN
2020,7018,OTHER / UNKNOWN
2019,6455,OTHER / UNKNOWN
2019,2956,COMMERCIAL / OFFICE BUILDING
2020,2767,COMMERCIAL / OFFICE BUILDING
2019,2679,DEPARTMENT / DISCOUNT STORE
2019,2366,HOTEL / MOTEL / ETC.
2018,2363,DEPARTMENT / DISCOUNT STORE
2020,2348,HOTEL / MOTEL / ETC.
2019,2238,RESTAURANTS
2018,2171,RESTAURANTS
2018,2114,COMMERCIAL / OFFICE BUILDING
2018,2064,HOTEL / MOTEL / ETC.
2018,1963,GROCERY / SUPERMARKET
2019,1849,GROCERY / SUPERMARKET
2020,1782,DEPARTMENT / DISCOUNT STORE
2020,1666,RESTAURANTS
2020,1581,CONVENIENCE STORE
2020,1542,GAS / SERVICE STATIONS
2019,1529,CONVENIENCE STORE
2019,1455,GAS / SERVICE STATIONS
2019,1446,BAR / NIGHT CLUB
2020,1377,GROCERY / SUPERMARKET
2019,1354,DRUG STORE / DR. OFFICE / HOSPITAL
2018,1344,CONVENIENCE STORE
2018,1259,GAS / SERVICE STATIONS
2018,1164,BAR / NIGHT CLUB
2020,1163,DRUG STORE / DR. OFFICE / HOSPITAL
2018,1062,PARK / PLAYGROUND
2018,981,DRUG STORE / DR. OFFICE / HOSPITAL
2019,976,PARK / PLAYGROUND
2020,844,SPECIALTY  STORE (TV  FUR ETC.)
2019,843,SPECIALTY  STORE (TV  FUR ETC.)
2020,775,PARK / PLAYGROUND
2020,736,BAR / NIGHT CLUB
2019,704,TRANSPORTATION (AIR / BUS / TRAIN - TERMINALS)
